a,b,c,d,e


81.86,90.67,88.26,62.78,96.16


82.22,92.16,82.89,52.84,100.00


80.59,87.16,77.18,66.41,89.17


79.32,86.46,82.48,54.14,90.97


68.60,79.73,86.12,59.07,82.21


75.64,74.76,81.87,55.61,79.43


74.06,63.55,81.85,62.35,49.09


74.98,44.80,100.00,75.10,53.19


68.29,67.00,85.21,64.29,44.17


70.91,44.89,85.65,58.76,42.84


59.26,48.58,91.03,61.66,42.84


53.38,52.96,90.39,48.67,59.20


69.65,52.11,73.66,65.83,29.04


75.44,42.62,75.36,66.21,28.50


71.15,42.93,81.18,54.01,40.46


71.35,38.30,88.52,73.05,19.43


69.97,48.99,66.96,58.36,46.70


50.18,55.40,85.21,60.37,42.06


67.66,45.48,85.36,56.22,21.41


56.00,48.61,77.49,52.37,59.85


67.47,46.47,75.58,52.82,27.40


52.15,55.69,76.38,56.13,27.95


69.47,47.56,69.70,58.93,10.00


60.37,40.88,71.62,64.09,48.08


69.95,45.05,59.67,60.47,29.58


63.03,42.97,67.68,57.09,37.73


62.76,40.72,72.48,60.97,24.81


48.71,54.82,67.26,58.15,35.72


68.86,38.92,64.94,54.55,27.12


82.40,30.44,69.83,48.72,5.06


70.97,40.78,55.70,57.39,21.41


56.48,48.96,67.16,48.68,19.43


57.45,37.50,72.93,56.28,31.64


51.99,48.02,75.33,46.08,20.10


68.47,36.50,55.42,61.46,27.68


63.77,25.99,86.10,56.86,14.03


69.79,28.48,73.16,61.71,7.38


72.43,25.73,71.13,63.78,9.15


69.21,31.54,63.27,60.45,20.10


68.07,30.91,65.25,70.48,10.42


65.37,33.16,68.21,55.23,20.43


73.76,19.03,86.00,51.56,5.06


58.92,38.96,65.97,46.00,32.64


50.08,42.83,71.27,54.90,26.27


67.82,22.59,72.25,76.16,10.42


61.97,30.19,68.87,59.82,24.21


62.99,19.55,92.51,54.45,10.42


63.86,35.91,65.46,57.76,6.00


69.15,30.32,71.21,46.60,5.53


77.94,26.47,61.22,44.84,8.71


76.71,16.92,67.48,60.92,9.15


56.99,38.79,65.75,55.71,11.25


55.95,25.56,86.42,55.22,12.86


67.89,32.37,54.56,52.85,18.06


70.68,18.74,66.64,69.78,9.58


56.97,36.30,59.25,55.31,25.98


64.38,11.40,80.01,75.54,11.66


56.48,34.43,67.43,58.58,6.47


68.47,29.98,43.61,72.82,16.64


68.05,13.40,83.90,55.67,3.11


60.75,30.41,65.23,64.31,2.10


57.71,28.86,66.91,54.62,20.76


50.79,37.48,66.42,62.52,8.71


63.66,22.69,68.36,51.63,21.09


62.03,30.34,63.23,49.21,15.54


65.80,24.29,64.87,66.51,1.58


57.22,30.81,64.14,63.26,10.00


61.83,21.53,76.24,48.81,10.00


58.41,27.29,75.58,40.84,10.42


65.54,24.52,64.00,55.66,5.06


61.26,33.25,57.00,55.34,3.61


59.87,17.04,81.09,55.87,6.00


70.05,14.11,63.35,72.57,2.61


65.03,15.19,75.60,53.40,7.83


75.20,9.71,63.68,63.64,5.06


66.18,17.39,69.30,53.19,4.58


63.49,28.38,50.92,46.57,22.99


60.25,18.51,79.14,49.47,2.61


52.72,12.82,85.27,75.87,3.11


61.09,26.45,59.94,47.85,14.79


45.97,28.85,73.14,58.52,15.54


68.11,16.40,62.82,60.52,5.06


58.51,27.12,63.11,53.78,7.38


63.88,26.14,56.90,42.62,16.28


56.25,28.71,56.04,52.33,22.37


62.42,16.13,60.65,49.93,34.79


59.45,18.56,66.96,66.89,5.53


44.31,30.06,77.12,53.04,7.83


50.14,27.78,67.84,51.36,16.28


64.78,16.33,72.53,45.63,2.10


82.87,4.93,61.02,49.59,0.00


66.87,12.44,64.13,62.44,2.10


51.75,26.38,66.33,52.10,9.58


52.19,28.42,64.18,52.18,5.06


48.08,20.84,77.97,53.61,8.27


47.46,31.21,63.17,51.24,9.15


73.22,7.13,60.79,59.68,0.00


61.13,12.09,65.73,58.16,12.86


57.28,16.44,62.61,67.68,4.10


66.00,10.83,67.02,49.90,3.61